ws,an,gb,Emax_alpha,Wmax_alpha,Pavgmax_alpha,HBavg_alpha,IEavg_alpha,PavgW_alpha,costh_alpha
0.3,-1,0.30,1.043118,1.099542,1.531271,1.997985,1.794399,1.531271,-0.283352
0.3,-1,0.40,1.061854,1.182456,1.555498,2.135532,1.783399,1.555498,-0.277125
0.3,-1,0.50,1.090011,1.166205,1.598007,2.057266,1.835397,1.598007,-0.270504
0.3,-1,0.60,1.112138,1.142184,1.650506,1.948710,1.907103,1.650506,-0.262890
0.3,-1,0.70,1.114894,1.183642,1.696942,2.007884,1.948622,1.696942,-0.248748
0.3,-1,0.80,1.103802,1.166471,1.727937,1.999117,1.993590,1.727937,-0.233617
0.3,-1,0.90,1.089992,1.156383,1.744268,2.010029,2.020129,1.744268,-0.217360
0.3,-1,1.00,1.078407,1.148004,1.751329,2.025241,2.032472,1.751329,-0.201322
0.3,-1,1.10,1.069736,1.090764,1.753360,1.950352,2.048635,1.753360,-0.186162
0.3,-1,1.20,1.063340,1.126769,1.752636,2.031184,2.033938,1.752636,-0.173108
0.3,-1,1.30,1.058564,1.043532,1.751200,1.903023,2.046547,1.751200,-0.162478
0.3,-1,1.40,1.055024,1.109043,1.749358,2.018776,2.020605,1.749358,-0.152328
0.3,-1,1.50,1.052317,1.066527,1.747106,1.953272,2.020024,1.747106,-0.150976
0.3,-1,1.60,1.050333,1.034354,1.745869,1.898480,2.017402,1.745869,-0.145275
0.3,-1,1.70,1.048912,1.071804,1.744418,1.957997,1.997398,1.744418,-0.141243
0.3,-1,1.80,1.048038,1.072920,1.742915,1.954870,1.986616,1.742915,-0.139173
0.3,-1,1.90,1.047548,1.073646,1.741751,1.952384,1.975757,1.741751,-0.137761
0.3,-1,2.00,1.047521,1.035797,1.740906,1.887464,1.975050,1.740906,-0.146319
0.4,-1,0.00,1.055028,1.114729,1.536232,2.013166,1.790828,1.536232,-0.285047
0.4,-1,0.10,1.055186,1.114651,1.536300,2.012841,1.790138,1.536300,-0.285022
0.4,-1,0.20,1.056505,1.149672,1.538270,2.079039,1.775832,1.538270,-0.284640
0.4,-1,0.30,1.064054,1.122135,1.547269,2.018448,1.791627,1.547269,-0.283037
0.4,-1,0.40,1.084902,1.222692,1.572600,2.203790,1.770441,1.572600,-0.280387
0.4,-1,0.50,1.120257,1.187173,1.618433,2.079032,1.830714,1.618433,-0.273854
0.4,-1,0.60,1.153637,1.162286,1.677159,1.960702,1.905716,1.677159,-0.262725
0.4,-1,0.70,1.163369,1.238966,1.728584,2.076561,1.940674,1.728584,-0.249036
0.4,-1,0.80,1.152778,1.236471,1.760986,2.089862,1.984960,1.760986,-0.233389
0.4,-1,0.90,1.136663,1.213939,1.775050,2.082773,2.016476,1.775050,-0.215506
0.4,-1,1.00,1.122619,1.183643,1.777989,2.064405,2.034891,1.777989,-0.197187
0.4,-1,1.10,1.111967,1.128966,1.775888,2.000633,2.048695,1.775888,-0.178965
0.4,-1,1.20,1.104101,1.152133,1.771227,2.060444,2.037322,1.771227,-0.166499
0.4,-1,1.30,1.098251,1.096951,1.766395,1.972057,2.042692,1.766395,-0.152430
0.4,-1,1.40,1.093843,1.129760,1.762004,2.046450,2.022299,1.762004,-0.145936
0.4,-1,1.50,1.090513,1.088680,1.757678,1.969454,2.022135,1.757678,-0.143295
0.4,-1,1.60,1.088071,1.063995,1.754375,1.938387,2.014958,1.754375,-0.136798
0.4,-1,1.70,1.086205,1.095915,1.751412,1.994260,1.994588,1.751412,-0.130867
0.4,-1,1.80,1.084950,1.103845,1.748733,1.993145,1.982371,1.748733,-0.136949
0.4,-1,1.90,1.084148,1.047651,1.746679,1.899343,1.985399,1.746679,-0.134957
0.4,-1,2.00,1.083802,1.046162,1.745401,1.902466,1.973437,1.745401,-0.133549
0.5,-1,0.00,1.076124,1.158994,1.555265,2.064513,1.784685,1.555265,-0.289312
0.5,-1,0.10,1.076092,1.159164,1.555285,2.063991,1.783848,1.555285,-0.289328
0.5,-1,0.20,1.076985,1.199667,1.557082,2.145900,1.766395,1.557082,-0.289025
0.5,-1,0.30,1.083637,1.154589,1.566018,2.044588,1.788666,1.566018,-0.287495
0.5,-1,0.40,1.105336,1.188737,1.591878,2.106578,1.790915,1.591878,-0.283289
0.5,-1,0.50,1.147925,1.213519,1.641573,2.104940,1.824852,1.641573,-0.276926
0.5,-1,0.60,1.196229,1.276948,1.706656,2.165620,1.869520,1.706656,-0.265851
0.5,-1,0.70,1.219128,1.252978,1.765072,2.061304,1.947172,1.765072,-0.251044
0.5,-1,0.80,1.211758,1.290401,1.799655,2.144223,1.983658,1.799655,-0.233148
0.5,-1,0.90,1.192562,1.257158,1.811458,2.121841,2.019063,1.811458,-0.214972
0.5,-1,1.00,1.173664,1.235258,1.809903,2.126650,2.034860,1.809903,-0.193376
0.5,-1,1.10,1.157983,1.198444,1.802463,2.098012,2.043188,1.802463,-0.177408
0.5,-1,1.20,1.145515,1.175540,1.793683,2.084274,2.041794,1.793683,-0.161261
0.5,-1,1.30,1.135773,1.144429,1.784776,2.040496,2.039551,1.784776,-0.149099
0.5,-1,1.40,1.128327,1.124545,1.777083,2.015403,2.032227,1.777083,-0.139540
0.5,-1,1.50,1.122702,1.112418,1.770554,2.007210,2.021231,1.770554,-0.134173
0.5,-1,1.60,1.118609,1.095444,1.764869,1.977668,2.012669,1.764869,-0.125677
0.5,-1,1.70,1.115654,1.107691,1.760472,1.993139,1.997590,1.760472,-0.126640
0.5,-1,1.80,1.113620,1.114870,1.756660,2.008473,1.982225,1.756660,-0.128117
0.5,-1,1.90,1.112328,1.076319,1.753353,1.941530,1.979962,1.753353,-0.122819
0.5,-1,2.00,1.111560,1.078666,1.750888,1.937745,1.968315,1.750888,-0.128863
0.6,-1,0.00,1.094184,1.213993,1.576282,2.142262,1.773152,1.576282,-0.295202
0.6,-1,0.10,1.093638,1.224177,1.576208,2.161557,1.768491,1.576208,-0.295068
0.6,-1,0.20,1.093059,1.265782,1.577551,2.258883,1.749377,1.577551,-0.294858
0.6,-1,0.30,1.096505,1.212946,1.586629,2.108776,1.778012,1.586629,-0.293432
0.6,-1,0.40,1.115268,1.255658,1.613093,2.185023,1.776097,1.613093,-0.289335
