ws,N,an,gb,tEmax,Emax,tWmax,Wmax,tPavgmax,Pavgmax,HBavg,IEavg,PavgW,costh
1.0,1,-1,0.00,157.15821178538238,0.9994166691092218,23.30602739903466,0.6898127676617594,23.30602739903466,0.03625269847000505,0.15268235660841775,0.005216596539780067,0.03625269847000505,1.2845537670485507
1.0,1,-1,0.10,157.15821178538238,0.9994166691093548,23.30602739903466,0.6898127676631777,23.30602739903466,0.03625269847003548,0.15268235660851018,0.005216596539794408,0.03625269847003548,1.2845537670474745
1.0,1,-1,0.20,157.15821178538238,0.999416669109754,23.30602739903466,0.6898127676674275,23.30602739903466,0.03625269847012666,0.15268235660878723,0.0052165965398389405,0.03625269847012666,1.284553767044057
1.0,1,-1,0.30,157.15821178538238,0.9994166691104182,23.30602739903466,0.6898127676745007,23.30602739903466,0.0362526984702784,0.15268235660924886,0.005216596539911427,0.0362526984702784,1.284553767038567
1.0,1,-1,0.40,157.15821178538238,0.9994166691113464,23.30602739903466,0.6898127676843975,23.30602739903466,0.03625269847049073,0.15268235660989457,0.005216596540014861,0.03625269847049073,1.2845537670306393
1.0,1,-1,0.50,157.15821178538238,0.9994166691125366,23.30602739903466,0.6898127676971011,23.30602739903466,0.036252698470763255,0.15268235661072344,0.005216596540146279,0.036252698470763255,1.2845537670206286
1.0,1,-1,0.60,157.15821178538238,0.9994166691139866,23.30602739903466,0.6898127677126051,23.30602739903466,0.03625269847109588,0.1526823566117345,0.00521659654030656,0.03625269847109588,1.2845537670084273
1.0,1,-1,0.70,157.15821178538238,0.9994166691156935,23.30602739903466,0.6898127677308887,23.30602739903466,0.03625269847148813,0.15268235661292698,0.005216596540495974,0.03625269847148813,1.2845537669939888
1.0,1,-1,0.80,157.15821178538238,0.9994166691176545,23.30602739903466,0.6898127677519361,23.30602739903466,0.036252698471939675,0.15268235661429885,0.00521659654071443,0.036252698471939675,1.2845537669773208
1.0,1,-1,0.90,157.15821178538238,0.9994166691198653,23.30602739903466,0.6898127677757193,23.30602739903466,0.03625269847244992,0.1526823566158491,0.005216596540961203,0.03625269847244992,1.284553766958496
1.0,1,-1,1.00,157.15821178538238,0.9994166691223215,23.30602739903466,0.6898127678022211,23.30602739903466,0.03625269847301847,0.15268235661757573,0.005216596541235355,0.03625269847301847,1.2845537669376246
1.0,1,-1,1.10,157.15821178538238,0.999416669125019,23.30602739903466,0.6898127678314155,23.30602739903466,0.03625269847364481,0.15268235661947696,0.005216596541538883,0.03625269847364481,1.284553766914449
1.0,1,-1,1.20,157.15821178538238,0.9994166691279533,23.30602739903466,0.689812767863264,23.30602739903466,0.03625269847432807,0.15268235662154958,0.005216596541870517,0.03625269847432807,1.2845537668891092
1.0,1,-1,1.30,157.15821178538238,0.999416669131118,23.30602739903466,0.6898127678977389,23.30602739903466,0.03625269847506768,0.15268235662379276,0.005216596542228286,0.03625269847506768,1.2845537668618305
1.0,1,-1,1.40,157.15821178538238,0.9994166691345073,23.30602739903466,0.6898127679348017,23.30602739903466,0.036252698475862814,0.15268235662620244,0.005216596542613194,0.036252698475862814,1.2845537668324776
1.0,1,-1,1.50,157.15821178538238,0.9994166691381164,23.30602739903466,0.6898127679744208,23.30602739903466,0.03625269847671279,0.15268235662877638,0.005216596543025089,0.03625269847671279,1.2845537668010543
1.0,1,-1,1.60,157.15821178538238,0.9994166691419373,23.30602739903466,0.6898127680165488,23.30602739903466,0.03625269847761659,0.15268235663151342,0.005216596543462426,0.03625269847761659,1.2845537667677196
1.0,1,-1,1.70,157.15821178538238,0.999416669145964,23.30602739903466,0.6898127680611443,23.30602739903466,0.03625269847857333,0.15268235663441057,0.005216596543926535,0.03625269847857333,1.2845537667322906
1.0,1,-1,1.80,157.15821178538238,0.9994166691501893,23.30602739903466,0.6898127681081588,23.30602739903466,0.036252698479581964,0.1526823566374648,0.005216596544417026,0.036252698479581964,1.284553766694792
1.0,1,-1,1.90,157.15821178538238,0.9994166691546063,23.30602739903466,0.6898127681574356,23.30602739903466,0.03625269848063913,0.15268235664067298,0.005216596544931144,0.03625269848063913,1.2845537666554563
1.0,1,-1,2.00,157.15821178538238,0.9994166691592073,23.30602739903466,0.6898127682090316,23.30602739903466,0.036252698481746046,0.1526823566440321,0.005216596545472188,0.036252698481746046,1.284553766613933
1.0,1,-0.75,0.00,157.15821178538238,0.9994166691092218,23.30602739903466,0.6898127676617594,23.30602739903466,0.03625269847000505,0.15268235660841775,0.005216596539780067,0.03625269847000505,1.2845537670485507
1.0,1,-0.75,0.10,157.15821178538238,0.9994166691093261,23.30602739903466,0.6898127676628715,23.30602739903466,0.036252698470028905,0.1526823566084901,0.005216596539791837,0.036252698470028905,1.2845537670476426
1.0,1,-0.75,0.20,157.15821178538238,0.9994166691096389,23.30602739903466,0.6898127676661971,23.30602739903466,0.03625269847010026,0.1526823566087073,0.005216596539826385,0.03625269847010026,1.2845537670450036
1.0,1,-0.75,0.30,157.15821178538238,0.9994166691101594,23.30602739903466,0.6898127676717447,23.30602739903466,0.03625269847021927,0.15268235660906895,0.0052165965398832306,0.03625269847021927,1.2845537670407003
1.0,1,-0.75,0.40,157.15821178538238,0.9994166691108871,23.30602739903466,0.689812767679501,23.30602739903466,0.036252698470385675,0.15268235660957488,0.005216596539962796,0.036252698470385675,1.2845537670346718
1.0,1,-0.75,0.50,157.15821178538238,0.9994166691118208,23.30602739903466,0.6898127676894595,23.30602739903466,0.03625269847059932,0.1526823566102249,0.005216596540066805,0.03625269847059932,1.2845537670267022
