ws,an,gb,Emax_alpha,Wmax_alpha,Pavgmax_alpha,HBavg_alpha,IEavg_alpha,PavgW_alpha,costh_alpha
1.0,-0.5,1.40,1.333234,1.473868,1.976922,2.395938,2.075447,1.976922,-0.197096
1.0,-0.5,1.50,1.274564,1.433237,1.944078,2.389837,2.076744,1.944078,-0.179326
1.0,-0.5,1.60,1.300489,1.374217,1.910947,2.333753,2.074741,1.910947,-0.163015
1.0,-0.5,1.70,1.261481,1.327750,1.879479,2.301883,2.067252,1.879479,-0.149142
1.0,-0.5,1.80,1.228861,1.292605,1.850814,2.269237,2.057535,1.850814,-0.137360
1.0,-0.5,1.90,1.201549,1.257159,1.824593,2.230574,2.046729,1.824593,-0.130131
1.0,-0.5,2.00,1.178359,1.220475,1.800561,2.188479,2.035554,1.800561,-0.120998
1.0,-0.25,0.00,1.064728,1.317577,1.664896,2.330147,1.754754,1.664896,-0.305697
1.0,-0.25,0.10,1.096648,1.321625,1.664773,2.336007,1.753318,1.664773,-0.305665
1.0,-0.25,0.20,1.161780,1.330033,1.664514,2.354958,1.750570,1.664514,-0.305775
1.0,-0.25,0.30,1.221595,1.349427,1.664614,2.384237,1.747598,1.664614,-0.305112
1.0,-0.25,0.40,1.270835,1.381028,1.665563,2.420944,1.736636,1.665563,-0.303778
1.0,-0.25,0.50,1.311088,1.403900,1.670020,2.467281,1.716818,1.670020,-0.302183
1.0,-0.25,0.60,1.339733,1.436015,1.677256,2.483197,1.712191,1.677256,-0.299062
1.0,-0.25,0.70,1.340089,1.470350,1.692217,2.440566,1.728843,1.692217,-0.296412
1.0,-0.25,0.80,1.307272,1.519953,1.715624,2.538767,1.732742,1.715624,-0.291715
1.0,-0.25,0.90,1.274767,1.489098,1.748608,2.500767,1.762460,1.748608,-0.286883
1.0,-0.25,1.00,1.038154,1.508050,1.790328,2.559052,1.786572,1.790328,-0.282077
1.0,-0.25,1.10,0.210063,1.554427,1.835496,2.653633,1.827392,1.835496,-0.275978
1.0,-0.25,1.20,0.142357,1.607451,1.876627,2.711970,1.883216,1.876627,-0.268945
1.0,-0.25,1.30,0.373955,1.601160,1.906308,2.648862,1.964727,1.906308,-0.259764
1.0,-0.25,1.40,0.723243,1.575010,1.919158,2.566958,2.024531,1.919158,-0.250234
1.0,-0.25,1.50,1.173423,1.545162,1.914677,2.546083,2.061543,1.914677,-0.238368
1.0,-0.25,1.60,1.374673,1.493760,1.895172,2.512224,2.088371,1.895172,-0.226881
1.0,-0.25,1.70,1.367391,1.417058,1.864610,2.423680,2.106117,1.864610,-0.216747
1.0,-0.25,1.80,1.345194,1.367861,1.826612,2.427028,2.110001,1.826612,-0.206837
1.0,-0.25,1.90,1.317822,1.321670,1.783174,2.430614,2.106809,1.783174,-0.200327
1.0,-0.25,2.00,1.286733,1.254617,1.735080,2.379716,2.101789,1.735080,-0.193004
1.0,0,0.00,1.064728,1.317577,1.664896,2.330147,1.754754,1.664896,-0.305697
1.0,0,0.10,1.073169,1.317898,1.665091,2.329918,1.754261,1.665091,-0.305545
1.0,0,0.20,1.086163,1.310809,1.665438,2.313721,1.754237,1.665438,-0.305219
1.0,0,0.30,1.093279,1.343402,1.666100,2.363584,1.747988,1.666100,-0.304179
1.0,0,0.40,1.086976,1.391266,1.667314,2.461062,1.734860,1.667314,-0.303121
1.0,0,0.50,1.053937,1.348894,1.667540,2.375220,1.740957,1.667540,-0.302040
1.0,0,0.60,1.009232,1.334688,1.667918,2.341653,1.740928,1.667918,-0.300844
1.0,0,0.70,0.975878,1.370687,1.666949,2.397146,1.730469,1.666949,-0.299030
1.0,0,0.80,0.904825,1.396067,1.664572,2.417249,1.726722,1.664572,-0.297004
1.0,0,0.90,0.598388,1.426662,1.661213,2.418705,1.728456,1.661213,-0.295445
1.0,0,1.00,0.245087,1.444533,1.655837,2.444210,1.730601,1.655837,-0.293084
1.0,0,1.10,0.207633,1.410956,1.647921,2.448295,1.740078,1.647921,-0.291627
1.0,0,1.20,0.612162,1.347275,1.636901,2.436138,1.754734,1.636901,-0.289452
1.0,0,1.30,0.755163,1.294676,1.622173,2.391008,1.785748,1.622173,-0.288244
1.0,0,1.40,0.885747,1.309957,1.602998,2.440884,1.818342,1.602998,-0.287896
1.0,0,1.50,1.001172,1.301741,1.577938,2.388970,1.880561,1.577938,-0.287111
